legal_status,area,price,bedrooms,toilets,latitude,longitude,area_per_bedroom
1.0,95.0,6.66,3.0,2.0,10.730915069580078,106.72628021240234,31.666666666666668
0.0,89.53,5.43,2.0,2.0,21.052268981933594,105.88481140136719,44.765
0.0,88.0,13.7,2.0,2.0,10.799132347106934,106.71966552734375,44.0
1.0,71.3,4.2,2.0,2.0,10.7912797927856,106.755027770996,35.65
1.0,104.0,7.3,2.0,2.0,10.8002681732178,106.748847961426,52.0
0.0,84.0,3.108,2.0,2.0,10.706522941589355,106.59969329833984,42.0
1.0,65.0,1.69,2.0,2.0,10.917457580566406,106.71024322509766,32.5
0.0,96.87,6.4,3.0,2.0,21.052268981933594,105.88481140136719,32.29
1.0,95.0,4.25,3.0,2.0,10.7896709442139,106.768531799316,31.666666666666668
0.0,67.0,2.39,2.0,2.0,20.9397029876709,105.7872543334961,33.5
1.0,73.0,3.75,2.0,2.0,10.836875915527344,106.84032440185547,36.5
1.0,71.5,4.2,2.0,2.0,10.7810492380694,106.762346629558,35.75
1.0,145.0,13.0,3.0,3.0,20.9978960218421,105.804006583788,48.333333333333336
1.0,43.0,2.35,1.0,1.0,21.0024147033691,105.964111328125,43.0
1.0,75.0,7.4,3.0,2.0,21.115686416625977,105.87013244628906,25.0
1.0,49.0,6.5,2.0,2.0,21.0224476107199,105.846978779274,24.5
1.0,55.0,2.89,2.0,1.0,20.9765451909255,105.847209457871,27.5
1.0,99.0,6.8,3.0,2.0,21.0786514282227,105.802612304688,33.0
1.0,83.0,3.0,3.0,2.0,20.97422218322754,105.9221420288086,27.666666666666668
1.0,63.0,4.5,2.0,2.0,10.7897729873657,106.755218505859,31.5
0.0,223.0,7.0,4.0,4.0,10.7947015762329,106.753456115723,55.75
1.0,86.0,5.86,3.0,2.0,20.951213836669922,105.98468017578125,28.666666666666668
0.0,36.44,1.93,1.0,1.0,10.8060159683228,106.666458129883,36.44
1.0,68.0,2.65,2.0,2.0,10.722164154052734,106.69816589355469,34.0
0.0,76.0,3.2,2.0,2.0,10.3762722015381,107.113647460938,38.0
1.0,65.0,1.7,2.0,2.0,10.9174503878677,106.710248132536,32.5
1.0,76.0,4.5,2.0,2.0,21.035978317260742,105.90629577636719,38.0
1.0,95.0,6.66,3.0,2.0,10.730915069580078,106.72628021240234,31.666666666666668
1.0,80.0,2.7,3.0,2.0,20.99761199951172,105.809326171875,26.666666666666668
1.0,75.0,3.3,2.0,2.0,10.710086822509766,106.70885467529297,37.5
0.0,80.0,5.6,3.0,3.0,10.704007148742676,106.71265411376953,26.666666666666668
1.0,50.0,2.8,1.0,2.0,16.088382720947266,108.22888946533203,50.0
1.0,59.0,2.05,2.0,2.0,12.274140357971191,109.20196533203125,29.5
1.0,136.3,16.5,2.0,2.0,21.016826629638672,105.81522369384766,68.15
1.0,83.0,3.0,3.0,2.0,20.97422218322754,105.9221420288086,27.666666666666668
0.0,55.3,2.8,2.0,2.0,10.7141895294189,106.737777709961,27.65
0.0,84.0,1.88,3.0,2.0,10.727779388427734,106.59661102294922,28.0
0.0,118.0,6.8,2.0,2.0,10.8060464859009,106.615867614746,59.0
1.0,85.0,6.8,2.0,2.0,10.776886,106.7562,42.5
0.0,69.9,4.95,2.0,2.0,10.7667578172836,106.65975189209,34.95
0.0,62.0,4.03,2.0,2.0,10.7552633285522,106.639366149902,31.0
0.0,52.0,1.5,2.0,2.0,12.271693121191,109.204609580523,26.0
1.0,55.0,3.5,2.0,1.0,10.791279792785645,106.7550277709961,27.5
1.0,43.0,2.795,1.0,1.0,20.99955177307129,105.9386215209961,43.0
1.0,68.0,3.2,2.0,2.0,21.00241470336914,105.964111328125,34.0
