area,price,bedrooms,toilets,legal_status,latitude,longitude,price_square,furniture,house_direction_x,house_direction_y,balcony_direction_x,balcony_direction_y,location_group
75.0,3.75,2,2,0,20.9585018157959,105.82634735107422,50.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
355.0,17.2,4,4,1,20.986519,105.7864,48.45070422535211,2,-0.7071067811865477,-0.7071067811865475,-1.0,1.2246467991473532e-16,0
140.0,7.9,3,2,1,21.00048828125,105.80715942382812,56.42857142857143,2,0.7071067811865474,-0.7071067811865477,0.7071067811865474,-0.7071067811865477,0
145.0,11.5,3,3,1,21.01249122619629,105.81131744384766,79.3103448275862,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
159.0,6.1,3,2,1,21.034077,105.770355,38.36477987421384,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
68.0,5.2,2,2,3,21.044233,105.76732,76.47058823529413,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
164.0,13.0,3,2,1,21.002666473388672,105.8154296875,79.26829268292683,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
120.7,7.242,3,2,1,21.01434898376465,105.7964096069336,60.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
87.0,5.9,2,2,1,21.0026988983154,105.792427062988,67.816091954023,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
56.0,5.1,2,2,1,21.115686416625977,105.87013244628906,91.07142857142857,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,2
84.0,4.2,2,2,3,20.996829986572266,105.79383850097656,50.0,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
64.0,3.5,2,1,3,21.006216049194336,105.7364730834961,54.6875,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
80.0,4.58,2,2,3,21.031325754747,105.76511432256,57.25,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
360.0,85.0,2,2,1,21.03326988220215,105.81670379638672,236.11111111111111,0,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
142.0,12.0,2,2,3,21.0168266296387,105.815223693848,84.50704225352112,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
80.0,4.0,3,2,1,21.008365631103516,105.80290985107422,50.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
52.0,1.12,2,1,1,20.9865384376248,105.853445535585,21.53846153846154,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
64.0,4.3,2,2,3,21.0062065124512,105.737075805664,67.1875,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
116.0,5.5,3,2,3,20.9854316711426,105.839340209961,47.41379310344827,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
162.0,9.5,3,3,1,21.0069580078125,105.80107879638672,58.641975308641975,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
68.0,3.35,2,2,1,21.0527531388643,105.875900197637,49.26470588235294,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
43.0,3.2,1,1,0,21.008852005004883,105.7439193725586,74.4186046511628,1,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
95.0,5.0,3,2,3,20.996829986572266,105.79383850097656,52.63157894736842,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
48.0,4.2,2,1,1,21.115686416625977,105.87013244628906,87.50000000000001,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,2
59.0,4.75,1,1,0,21.073904037475586,105.79998016357422,80.50847457627118,1,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,2
28.0,2.0,2,2,3,21.0062065124512,105.737075805664,71.42857142857143,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
96.0,6.8,3,2,1,20.9837012320325,105.850978007226,70.83333333333333,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
