area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
63.0,19.6,105.843116356562,20.9835123840338,1.0,1.0,4.5,4.0,5.0,4.0
57.0,7.0,105.904720063152,21.0123567603901,1.0,1.0,3.4,3.0,3.0,5.0
45.0,8.55,105.768786700473,21.0132287100035,,2.0,,,,
30.0,4.26,105.934729579324,21.0386050657718,1.0,1.0,3.4,4.0,3.0,3.0
50.0,7.0,105.915672156527,21.0338769022104,,1.0,,5.0,,
50.0,12.5,105.763106296418,20.958282795959,1.0,2.0,5.6,5.0,4.0,4.0
35.0,9.2,105.817498215714,20.9956816658551,1.0,0.0,3.5,5.0,6.0,4.0
47.0,12.5,105.83213921909,21.0625641559348,1.0,2.0,,6.0,5.0,6.0
40.0,4.6,105.712095600487,21.0083593052029,1.0,1.0,,4.0,4.0,4.0
48.0,8.6,105.824300225264,20.9972440660294,1.0,2.0,8.0,5.0,6.0,4.0
30.0,3.98,105.712214465517,21.0476142151294,1.0,1.0,3.63,5.0,3.0,4.0
52.0,20.5,105.841696284726,21.0475638561722,1.0,2.0,,5.0,3.0,5.0
35.0,6.8,105.813269604982,20.9911211842493,1.0,1.0,4.9,4.0,3.0,3.0
42.0,5.75,105.856828910929,20.9950686121856,1.0,2.0,45.0,4.0,3.0,4.0
105.0,31.0,105.806215250854,21.0231545216076,1.0,2.0,5.5,7.0,13.0,13.0
52.0,9.2,105.806610504115,21.0230794354165,1.0,2.0,,,10.0,10.0
50.0,16.5,105.854961756312,21.005969713636,1.0,2.0,,5.0,6.0,
51.0,15.99,105.785482484787,20.9747638507761,1.0,3.0,6.2,7.0,8.0,8.0
50.0,12.1,105.810119853832,21.0723827822242,1.0,1.0,4.1,5.0,4.0,4.0
83.0,22.5,105.872865217678,21.0392056109753,1.0,3.0,4.3,8.0,4.0,6.0
35.0,6.3,105.777011514514,20.9666887957275,1.0,2.0,3.5,5.0,4.0,4.0
32.0,4.35,105.709925402822,21.0775204174517,1.0,1.0,,5.0,3.0,4.0
52.0,6.8,105.758309333926,21.0013321386505,1.0,1.0,4.2,5.0,5.0,4.0
37.0,10.75,105.810277290352,21.0349428796536,1.0,2.0,5.5,5.0,3.0,3.0
71.0,10.9,105.808441682113,21.0537360512931,1.0,2.0,14.0,4.0,4.0,4.0
36.5,6.85,105.8239532086,21.0220984714089,1.0,2.0,4.6,5.0,3.0,4.0
58.0,16.8,105.77373367481,21.0379967042888,1.0,3.0,14.0,7.0,17.0,17.0
65.0,10.6,105.856783482221,20.9951355366756,1.0,2.0,4.0,4.0,5.0,
40.0,12.5,105.799530492448,21.0451050502839,1.0,1.0,5.5,4.0,3.0,3.0
40.0,4.5,105.8668399169,20.91257848128,1.0,2.0,49.0,4.0,4.0,3.0
38.0,3.6,105.719236991263,20.9290854798577,1.0,1.0,3.5,5.0,4.0,4.0
43.0,14.98,105.80075393719,21.0377944728893,1.0,2.0,6.0,6.0,4.0,5.0
46.0,15.9,105.824627945353,21.0409907519414,1.0,2.0,4.6,5.0,5.0,5.0
32.0,7.4,105.801534545665,21.0300590964458,1.0,2.0,3.2,5.0,4.0,4.0
42.0,5.4,105.866920562422,21.0497787460611,1.0,2.0,4.0,4.0,4.0,4.0
50.0,10.5,105.769478511647,20.9404873489222,1.0,2.0,,4.0,4.0,3.0
35.0,4.9,105.769004403688,20.9405850481842,1.0,1.0,,5.0,3.0,4.0
47.0,12.8,105.821809769756,20.9979352284371,1.0,2.0,3.2,4.0,4.0,3.0
48.0,21.9,105.809935424626,21.0159650055349,1.0,2.0,3.8,5.0,,
40.0,6.8,105.737395847264,21.0437176817361,1.0,2.0,4.0,5.0,4.0,5.0
49.0,21.0,105.808492679508,21.0208401279257,1.0,2.0,5.2,5.0,,
35.0,10.0,105.782783215292,20.9666865902266,1.0,1.0,,4.0,3.0,
50.0,6.95,105.866691119262,21.0497661807992,1.0,2.0,,3.0,3.0,3.0
31.0,7.75,105.835218137745,20.9535127498693,1.0,2.0,,4.0,4.0,3.0
35.5,8.65,105.816184958568,21.0398621681412,1.0,1.0,6.15,2.0,2.0,2.0
48.2,7.8,105.871436746925,21.046986126829,1.0,1.0,,3.0,3.0,2.0
225.0,65.0,105.8201087,21.012597,1.0,1.0,7.0,10.0,4.0,12.0
