frontage,access_road_width,area,price,longitude,latitude
12.170175438596493,9.597043491671808,52.0,4.05,105.806984279776,20.9234904313214
4.0,5.0,73.9,1.11,105.596930551835,20.8445058369497
7.93,5.0,79.6,1.84,105.548411369942,21.0405303969376
4.0,3.0,55.0,4.0,105.934972100185,21.0388398521907
5.0,3.5,73.0,1.89,105.548235134174,21.0403696533423
4.0,5.0,40.0,0.56,105.63582848886,20.8563440497535
4.0,6.0,56.0,7.65,105.824268277479,21.0424541233622
5.5,2.0,45.7,0.535,105.670826891616,20.7611154568693
12.170175438596493,4.0,48.0,7.85,105.818454350403,20.9636195895267
6.8,9.597043491671808,82.0,6.1,105.734501412727,20.9777560596861
4.0,12.0,125.5,2.95,105.761918070172,21.2917229475492
6.0,1.8,40.0,3.9,105.747419292746,20.9795682482348
12.170175438596493,9.597043491671808,72.0,2.6,105.859945768733,21.251676710502
12.0,8.0,150.0,3.75,105.715069186307,20.9081689018795
4.2,10.0,63.3,1.65,105.4830307443,21.0709850404213
5.0,9.597043491671808,61.0,13.8,105.883915161234,21.0289109977839
5.52,9.597043491671808,231.8,2.09,105.515816129807,21.0593246205412
12.170175438596493,9.597043491671808,204.0,4.08,105.528792988308,20.9528774392126
12.170175438596493,9.597043491671808,50.0,7.4,105.830178722762,21.0379601642771
3.1,6.0,39.4,9.5,105.747582208876,20.9793932802592
12.170175438596493,9.597043491671808,42.0,3.3,105.921041448227,20.988236914453
12.170175438596493,9.597043491671808,100.0,4.95,105.556644210364,21.0249333421958
5.5,4.5,88.0,3.35,105.778061976653,21.2766541971779
12.170175438596493,9.597043491671808,60.0,1.8,105.58298493668,21.0494773754712
4.0,4.0,40.5,1.62,105.869435548281,21.1872998971831
6.0,9.597043491671808,120.0,8.0,105.929400797707,20.9799893081965
12.170175438596493,9.597043491671808,40.0,3.7,105.887812827978,20.9987958080262
7.0,5.0,78.7,1.93,105.547779500581,21.0404917440611
7.0,9.597043491671808,90.0,13.3,105.804314091476,21.0185682701754
4.0,10.0,41.0,6.23,105.714903830153,21.0826505753591
12.170175438596493,9.597043491671808,40.2,3.68,105.887492185546,20.9989605181392
7.3,9.597043491671808,55.0,6.15,105.776683797231,21.0118426770305
12.170175438596493,6.0,46.0,7.0,105.918355469874,21.0627879620119
4.0,4.0,67.0,9.6,105.837948106676,21.0693006299654
5.0,6.0,137.0,3.45,105.603104641451,20.9783814034898
4.0,12.0,50.0,9.0,105.768475388715,20.9653558034136
50.0,60.0,500.0,120.0,105.7717843,21.0110448
